Team number,Team name
,
Edison,
25,Rock 'n Roll Robots
365,Miracle Workerz
542,WHS Robotics
3113,Some Disassembly
3480,FrostByte
3491,FIX IT
3631,Middle Earth Mechs
3888,Greased Lightning
4130,Robotica Santi
4150,Dark Matter
4174,Atomic Theory
4211,The Bombers
4251,Cougar Robotics
4290,High PHidelity
4378,Black Box Robotics
4443,Sock Monkeys
4625,Kings and Queens
4886,Robo Junkies
4924,Tuxedo Pandas
4997,Masquerade
5026,Tesla Coils
5064,Aperture Science
5110,Wingus & Dingus
5200,Robots Incorporated
5206,The Knights of Ni
5215,THAT Team
5257,Eagles Xperience
5391,Enigma Puzzlers
5842,The Vampires
5843,AutoVortex
5890,e-lemon-ators
5916,Bo-Bots
5940,Rockin' Robots
5972,Patronum Bots
6002,Basilisks
6022,To Be Determined
6055,GearTicks
6109,Punabots
6134,Black Frogs
6210,ViperBots Stryke
6312,GOLDEN TIGERS
6455,MoHawk Warriors
6565,Stuffed Dragons
6911,James Ruse
6987,Hat Trix
7013,Hot Wired
7129,Robo Raiders
7152,Robot Squad
7182,Mechanical Paradox
7190,Green Girls
7398,BLUE CREW
7591,Voltage Imagination
7953,Vertigo
8231,Skyhawks
8339,Galaxy Robotechs
8405,Miller Robotics
8498,The Evil Purple Sox
8716,Techaholix
8911,Da Vinci Decoders
9164,Zorrobots
9751,RAMS
9753,Technomancers
9755,HCC-2
9757,Team Tulip
,
,
::Franklin::,
,
28,PolyGnomes
201,The Robo Broncos
519,ED Too
724,RedNek Wun
2844,Valley X Robotics
3085,Higgs Bots
3415,Lancers
3486,Techno Warriors
3595,Schrodinger's Hat
3805,Atomic Robotics
4017,roboPandas
4029,2 Bits and a Byte
4082,RoboSpartans
4137,IslandBots
4250,LIGHTSABERS
4318,Super 7
4530,Infinite Resistance
4855,Batteries In Black
5009,Helios
5037,got robot?
5096,Monkey Madness
5140,WACO Aerobotics
5145,Bronz Bots
5151,Infinity
5466,Combustible Lemons
5894,V-CUBE
5975,CYBOTS
6007,Octopi
6037,W.A.G.S.
6081,i^2r robotics
6133,"The ""NUTS!"""
6137,RoBowties
6299,ViperBots QuadX
6389,The LazyBotts
6433,Neutrinos
6451,Tarpon Robotics
6510,CyberSharks
6735,Team Medusa
6935,PARADOX
7006,RoboTitans
7023,HexaSonics
7138,Mech Mayhem
7172,Technical Difficulties
7187,Team Axis
7350,Watts NXT?
7477,Super 7
7487,Super 7
7550,BuffnBlue 7550
7655,The Q is Silqent
8221,CUBIX^3
8327,Spartans
8330,AZTECH II
8338,Shatterdome
8359,French Toast Mafia
8471,The Ducks
8609,"Blue Crew, Too"
8790,MoHawk Elites
9048,Philobots
9746,PML30-phi
9747,Carousel
9749,Smurfs
9752,AmazKing
9754,So7en
9756,M&T
,
4100,Darbots 1
